state,phi_intergranular,phi_ic,phi_total,delta_lambda_percent
dry,0.21117647,0.00025210,0.21142857,-1.20035149
dry,0.21302521,0.00025210,0.21327731,-1.19795299
dry,0.21487395,0.00025210,0.21512605,-1.19556368
dry,0.21672269,0.00025210,0.21697479,-1.19318352
dry,0.21857143,0.00025210,0.21882353,-1.19081245
dry,0.22042017,0.00025210,0.22067227,-1.18845041
dry,0.22226891,0.00025210,0.22252101,-1.18609736
dry,0.22411765,0.00025210,0.22436975,-1.18375323
dry,0.22596639,0.00025210,0.22621849,-1.18141797
dry,0.22781513,0.00025210,0.22806723,-1.17909154
dry,0.22966387,0.00025210,0.22991597,-1.17677387
dry,0.23151261,0.00025210,0.23176471,-1.17446492
dry,0.23336134,0.00025210,0.23361345,-1.17216463
dry,0.23521008,0.00025210,0.23546218,-1.16987296
dry,0.23705882,0.00025210,0.23731092,-1.16758985
dry,0.23890756,0.00025210,0.23915966,-1.16531525
dry,0.24075630,0.00025210,0.24100840,-1.16304911
dry,0.24260504,0.00025210,0.24285714,-1.16079138
dry,0.24445378,0.00025210,0.24470588,-1.15854201
dry,0.24630252,0.00025210,0.24655462,-1.15630096
dry,0.24815126,0.00025210,0.24840336,-1.15406817
dry,0.25000000,0.00025210,0.25025210,-1.15184360
dry,0.03000000,0.00033613,0.03033613,-1.97806162
dry,0.03184874,0.00033613,0.03218487,-1.97323260
dry,0.03369748,0.00033613,0.03403361,-1.96842671
dry,0.03554622,0.00033613,0.03588235,-1.96364376
dry,0.03739496,0.00033613,0.03773109,-1.95888360
dry,0.03924370,0.00033613,0.03957983,-1.95414606
dry,0.04109244,0.00033613,0.04142857,-1.94943098
dry,0.04294118,0.00033613,0.04327731,-1.94473819
dry,0.04478992,0.00033613,0.04512605,-1.94006754
dry,0.04663866,0.00033613,0.04697479,-1.93541886
dry,0.04848739,0.00033613,0.04882353,-1.93079201
dry,0.05033613,0.00033613,0.05067227,-1.92618682
dry,0.05218487,0.00033613,0.05252101,-1.92160314
dry,0.05403361,0.00033613,0.05436975,-1.91704081
dry,0.05588235,0.00033613,0.05621849,-1.91249970
dry,0.05773109,0.00033613,0.05806723,-1.90797964
dry,0.05957983,0.00033613,0.05991597,-1.90348049
