state,phi_total,phi_mc_abs,phi_pore,lambda_basic,lambda_dual,delta_lambda_abs,delta_lambda_pct,alpha_basic,alpha_pore,alpha_mc
oil,0.06799999999999999,0.0025,0.06549999999999999,4.504850984458623,3.90787496874798,-0.5969760157106432,-13.251848235827618,0.5,0.5,0.0001
oil,0.07089999999999999,0.0025,0.06839999999999999,4.484528596831569,3.8910518252924784,-0.5934767715390907,-13.233871938254488,0.5,0.5,0.0001
oil,0.07379999999999999,0.0025,0.07129999999999999,4.464268644100678,3.874273501174705,-0.5899951429259733,-13.215941735621673,0.5,0.5,0.0001
oil,0.07669999999999999,0.0025,0.07419999999999999,4.4440708389864065,3.857539817524928,-0.5865310214614787,-13.19805742779864,0.5,0.5,0.0001
oil,0.07959999999999999,0.0025,0.07709999999999999,4.423934895968977,3.840850596423955,-0.5830842995450221,-13.180218815523702,0.5,0.5,0.0001
oil,0.08249999999999999,0.0025,0.07999999999999999,4.403860531274924,3.8242056608968267,-0.5796548703780977,-13.162425700395348,0.5,0.5,0.0001
oil,0.08539999999999999,0.0025,0.08289999999999999,4.383847462863767,3.8076048349065603,-0.5762426279572068,-13.144677884863581,0.5,0.5,0.0001
oil,0.08829999999999999,0.0025,0.08579999999999999,4.363895410414797,3.791047943347944,-0.5728474670668526,-13.126975172221242,0.5,0.5,0.0001
oil,0.09119999999999999,0.0025,0.08869999999999999,4.34400409531399,3.7745348120413817,-0.5694692832726078,-13.109317366595297,0.5,0.5,0.0001
oil,0.09409999999999999,0.0025,0.09159999999999999,4.324173240641039,3.7580652677267805,-0.5661079729142582,-13.091704272938317,0.5,0.5,0.0001
oil,0.09699999999999999,0.0025,0.09449999999999999,4.304402571156503,3.741639138057497,-0.5627634330990059,-13.074135697019694,0.5,0.5,0.0001
oil,0.09989999999999999,0.0025,0.09739999999999999,4.284691813289072,3.725256251594322,-0.55943556169475,-13.056611445417088,0.5,0.5,0.0001
oil,0.10279999999999999,0.0025,0.10029999999999999,4.26504069512295,3.7089164377995165,-0.5561242573234337,-13.039131325507835,0.5,0.5,0.0001
oil,0.10569999999999999,0.0025,0.10319999999999999,4.24544894638535,3.692619527030895,-0.5528294193544552,-13.021695145460267,0.5,0.5,0.0001
oil,0.10859999999999999,0.0025,0.10609999999999999,4.225916298434103,3.6763653505359533,-0.5495509478981497,-13.004302714225165,0.5,0.5,0.0001
oil,0.11149999999999999,0.0025,0.10899999999999999,4.206442484245379,3.6601537404460456,-0.5462887437993333,-12.986953841527104,0.5,0.5,0.0001
oil,0.11439999999999999,0.0025,0.11189999999999999,4.187027238401524,3.6439845297706035,-0.5430427086309204,-12.96964833785598,0.5,0.5,0.0001
oil,0.11729999999999999,0.0025,0.11479999999999999,4.167670297078991,3.627857552391405,-0.5398127446875858,-12.952386014458153,0.5,0.5,0.0001
oil,0.12019999999999999,0.0025,0.11769999999999999,4.148371398036399,3.6117726430568813,-0.5365987549795181,-12.935166683328141,0.5,0.5,0.0001
oil,0.12309999999999999,0.0025,0.12059999999999998,4.1291302806026895,3.595729637376477,-0.5334006432262126,-12.917990157199817,0.5,0.5,0.0001
oil,0.126,0.0025,0.1235,4.109946685665385,3.5797283718150466,-0.5302183138503382,-12.90085624953789,0.5,0.5,0.0001
oil,0.1289,0.0025,0.12639999999999998,4.090820355658963,3.5637686836873,-0.5270516719716625,-12.88376477452927,0.5,0.5,0.0001
oil,0.1318,0.0025,0.1293,4.0717510345533245,3.547850411152287,-0.5239006234010377,-12.866715547074458,0.5,0.5,0.0001
