state,phi_total,phi_mc_abs,delta_lambda_pct
dry,0.060000000000000005,0.000775,-3.1067511113515343
dry,0.060000000000000005,0.00084375,-3.372994209181153
dry,0.060000000000000005,0.0009124999999999999,-3.6377684798464007
dry,0.060000000000000005,0.00098125,-3.9010860448920477
dry,0.060000000000000005,0.00105,-4.162958892850845
dry,0.060000000000000005,0.00111875,-4.423398881062912
dry,0.060000000000000005,0.0011875,-4.6824177374655855
dry,0.060000000000000005,0.00125625,-4.940027062353702
dry,0.060000000000000005,0.0013249999999999998,-5.196238330111468
dry,0.060000000000000005,0.00139375,-5.451062890916226
dry,0.060000000000000005,0.0014624999999999998,-5.7045119724144255
dry,0.060000000000000005,0.0015312499999999998,-5.956596681370677
dry,0.060000000000000005,0.0015999999999999999,-6.207328005290319
dry,0.060000000000000005,0.0016687499999999999,-6.456716814015651
dry,0.060000000000000005,0.0017375,-6.704773861296921
dry,0.060000000000000005,0.00180625,-6.951509786338038
dry,0.060000000000000005,0.001875,-7.196935115317496
dry,0.060000000000000005,0.0019437499999999997,-7.441060262885543
dry,0.060000000000000005,0.0020124999999999995,-7.683895533637265
dry,0.060000000000000005,0.0020812499999999998,-7.925451123562452
dry,0.060000000000000005,0.00215,-8.165737121472695
dry,0.060000000000000005,0.00221875,-8.404763510406031
dry,0.060000000000000005,0.0022874999999999996,-8.642540169009372
dry,0.060000000000000005,0.00235625,-8.879076872899676
dry,0.060000000000000005,0.0024249999999999996,-9.114383296003393
dry,0.060000000000000005,0.00249375,-9.34846901187554
dry,0.060000000000000005,0.0025624999999999997,-9.581343494997952
dry,0.060000000000000005,0.00263125,-9.81301612205759
dry,0.060000000000000005,0.0026999999999999997,-10.043496173205163
dry,0.060000000000000005,0.0027687499999999995,-10.272792833294183
dry,0.060000000000000005,0.0028374999999999997,-10.50091519310106
dry,0.060000000000000005,0.0029062499999999995,-10.727872250526714
dry,0.060000000000000005,0.0029749999999999998,-10.95367291177933
dry,0.060000000000000005,0.0030437499999999996,-11.178325992539662
dry,0.060000000000000005,0.0031125,-11.40184021910819
dry,0.060000000000000005,0.0031812499999999996,-11.62422422953495
dry,0.060000000000000005,0.00325,-11.845486574732522
dry,0.060000000000000005,0.0033187499999999997,-12.065635719571855
dry,0.060000000000000005,0.0033874999999999995,-12.28468004396186
dry,0.060000000000000005,0.0034562499999999997,-12.502627843912661
dry,0.060000000000000005,0.0035249999999999995,-12.71948733258302
dry,0.060000000000000005,0.0035937499999999997,-12.935266641311909
dry,0.060000000000000005,0.0036624999999999995,-13.149973820635019
